,production_budget_usd,worldwide_Gross_usd
338,5000000,10751126
339,3250000,6965361
340,5000000,3707583
341,17000000,26918576
342,46000000,4408636
343,12000000,84970337
344,8000000,20036244
345,14000000,125212904
346,2500000,14400000
347,10500000,792965326
348,1200000,255000
349,12500000,20959585
350,15000000,177200000
351,400000,126387
352,10100000,10143618
353,12000000,74433837
354,10000000,25697647
355,5952000,2120439
356,7000000,201463574
357,5000000,12232628
358,375000,29400000
359,32500000,572705079
360,39000000,59950623
361,10000000,29500000
362,36000000,160000000
363,15000000,61400000
364,7000000,1246141
365,1305000,909000
366,25000000,44942821
367,15000000,8921050
368,27500000,187500000
369,27000000,21500000
370,10000000,20766000
371,8000000,589308
372,12000000,39012241
373,3250000,20605209
374,30000000,5564014
375,18000000,87000000
376,1500000,2300000
377,8200000,80000000
378,9000000,13075390
379,4500000,81198894
380,2600000,32980880
381,550000,5269990
382,15000000,316300000
383,28000000,333080271
384,8000000,90815558
385,18000000,26400000
386,27000000,21300000
387,30000000,295212467
388,11000000,148168459
389,25000000,5778353
390,1250000,4700000
391,8000000,62599495
392,7500000,5142858
393,1800000,25504513
394,18000000,51973029
395,10000000,8801940
396,6400000,78019031
397,15000000,15136870
398,48000000,25928721
399,45000000,27447471
400,27500000,27187653
402,3000000,21163999
403,1500000,2730877
404,19000000,385524862
405,1300000,210904
406,10000000,33000000
407,2200000,21930418
408,10000000,35073978
409,18000000,19739000
410,44000000,300400000
411,30000000,152627960
412,2000000,1663296
413,27000000,10618813
414,25000000,11603545
415,17900000,6905861
416,6900000,41410568
417,3500000,34004262
418,12000000,65532576
419,4000000,14237880
420,10000000,17536256
421,26000000,33200000
422,10000000,36230219
423,3000000,11052713
424,7000000,10803211
425,20000000,18400000
426,31000000,258210860
427,15000000,93589701
428,15000000,9930649
430,40000000,6341825
431,25000000,11100000
432,30000000,16295774
433,3000000,19472057
434,15000000,1953732
435,18000000,6734844
436,35000000,2000000
437,5000000,12947763
438,25000000,23506237
439,4500000,1500000
440,18000000,1305114
441,15000000,356800601
442,12000000,4984663
443,40000000,49851591
444,16000000,12900000
445,3000000,20966644
446,17000000,183316455
447,8000000,52287414
448,175000,7137502
449,4700000,8025872
450,17000000,2315000
451,8800000,328203506
452,18000000,41382841
453,10000000,52293000
454,24000000,133000000
455,12000000,79817937
456,30000000,38747385
457,6000000,137963328
458,2000000,7369373
459,2600000,3147950
460,350000,4000000
461,100000,5228617
462,10000000,3000000
463,3500000,14000000
464,16000000,14792779
465,5000000,44793222
466,25000000,76270454
467,3500000,5923044
468,4000000,800000
469,1100000,1355728
470,40000000,14375181
471,20000000,276665036
472,15000000,120192350
473,29000000,25899797
475,22700000,38119483
476,23000000,15728335
477,13000000,53424681
478,17000000,11227824
479,6500000,54215416
480,40000000,191200000
481,8500000,32222567
482,1900000,4600000
483,14000000,320100000
484,1000000,14564000
485,15000000,30857000
486,16500000,43848100
487,30000000,38122000
488,25000000,43988888
489,3000000,7888000
490,15000000,167780960
491,18000000,98267558
492,13000000,123922370
493,25000000,16118077
494,5000000,17768757
495,4000000,3468572
496,6200000,9205924
497,1500000,11806119
498,18000000,151668774
499,15000000,73326666
500,4000000,354704
501,4000000,13000000
502,4700000,1705139
503,2800000,19170001
504,58000000,188715611
505,14000000,239606210
506,70000000,351500000
507,28000000,139109346
508,30000000,81613606
509,3000000,7282851
510,13000000,49369899
511,9000000,44196684
512,16000000,13854000
513,15000000,216600000
514,9500000,14114000
515,6000000,12793213
516,12300000,81972846
517,32000000,59450353
518,7000000,20257000
519,6000000,14545844
520,13000000,44726644
521,7000000,8373585
522,25000000,412800000
523,14000000,34700000
524,15000000,10763469
525,16400000,239500000
526,10000000,40485039
527,18000000,7190505
528,1200000,36741667
529,11500000,57469179
530,10000000,30050028
531,48000000,474171806
532,35000000,411348924
533,6000000,26004026
534,11000000,49793054
535,42000000,156167015
536,16000000,92961960
537,5000000,6157157
538,5000000,14343976
539,1500000,14533681
540,9000000,10176701
541,30000000,70200000
542,70000000,54243125
543,19000000,58571513
544,30000000,45892212
545,6000000,11642254
546,6000000,22168359
547,30000000,95857262
548,40000000,332000000
549,18000000,26593580
550,7500000,106593296
551,20000000,10555348
552,14000000,70001698
553,140000,6706368
554,55000000,63408614
555,1600000,419428
556,65000000,261400000
557,10000000,16667084
558,30000000,200500000
559,7700000,882290
560,70000000,239814025
561,10000000,16153000
562,430000,2938000
563,14000000,432645872
564,13500000,202000000
565,3000000,15000000
566,40000000,244088654
567,50000000,41476097
568,47000000,162738726
569,60000000,157670733
570,20000000,53976987
571,22000000,517600000
572,31000000,53208180
573,19000000,424200000
574,13000000,34166572
575,25000000,46777347
576,7000000,4372561
577,26000000,61308153
578,20000000,21413105
579,4200000,5835247
580,49000000,20423389
581,15000000,476684675
582,35000000,54768418
583,26000000,202000000
584,54000000,66520529
586,11000000,2000000
587,8000000,2275557
588,500000,55000
589,450000,2712293
590,40000000,34416893
591,8500000,15024232
592,35000,321952
593,23000,1227508
594,35000000,14471440
595,14000000,34729091
596,100000000,513815401
597,20000000,275726716
598,25000000,78656813
599,25000000,9286314
600,65000000,17218916
601,27000000,96900000
602,50000000,390500000
603,23000000,86930411
604,20000000,37537675
605,7000000,5017971
606,23000000,7018525
607,6000000,773490
608,16000000,29090445
609,5000000,34872033
610,24000000,41798224
611,2500000,6401336
612,7000000,8824553
613,5000000,19438638
614,9000000,349618
615,70000000,300854823
616,20000000,451329842
617,35000000,182291969
618,30000000,191502246
619,16500000,58011485
620,24000000,83531958
621,6500000,56200634
622,40000000,205400000
623,30000000,74787599
624,11000000,81204830
625,7000000,5430822
626,42000000,131052444
627,40000000,132440066
628,42000000,66787173
629,10000000,50752337
630,20000000,183097323
631,35000000,4651977
632,40000000,14358033
633,11000000,52929168
634,8000000,26199377
635,5000000,1526697
636,45000000,178100000
637,35000000,319700000
638,55000000,158500000
639,10000000,32100816
640,80000000,266824291
641,40000000,44948240
642,14400000,159157447
643,11000000,21171695
644,55000000,149022650
645,7000000,14231669
646,5000000,1050861
647,40000000,75505856
648,12500000,10725228
649,8000000,28876702
650,1200000,2832029
651,28000000,504050219
652,33000000,236500000
653,12000000,27281507
654,40000000,215862692
655,35000000,48169910
656,20000000,358994850
657,25000000,410900000
658,4000000,62546695
659,35000000,28391473
660,2000000,21000
661,1800000,673
662,14000000,155056263
663,800000,1001437
664,32000000,36299670
665,15000000,52189039
666,6500000,24103594
667,11000000,21502976
668,7000,2041928
669,12000000,46730578
670,21000000,42273609
671,35000000,4496583
672,15000000,9579068
673,13000000,27979399
674,22000000,10696210
675,15000000,63954968
676,13000000,1152117
677,3500000,27731527
678,65000000,255000000
679,42000000,20844907
680,44000000,353715317
681,85000000,137298489
682,42000000,270340892
683,8000000,22549338
684,28000000,39360491
685,20000000,153698625
686,14000000,27450453
687,25000000,10731997
688,3000000,15935068
689,6000000,3273588
690,15000000,39100956
691,34000000,32014993
692,6900000,7950889
693,3000000,3902679
694,12500000,12309980
695,63000000,1038812584
696,25000000,441286003
697,19000000,2119994
698,14600000,70906973
699,3000000,242623
700,7000000,40157856
701,25000000,321365567
702,45000000,187995859
703,26000000,201324422
704,25000000,56505065
705,11000000,9170214
706,22000000,25842377
707,50000000,16581575
708,40000000,31835600
709,50000000,38590458
710,10000000,18423914
711,40000000,24172899
712,62000000,207500000
713,30000000,51041856
714,12000000,107217396
715,10000000,3275585
716,45000000,112006296
717,13000000,7881335
718,8000000,8864699
719,9000000,4333569
720,14000000,13024170
721,50000000,119180938
722,45000000,358500000
723,20000000,11744960
724,55000000,679850637
725,79300000,987480140
726,70000000,131011757
727,63000000,25052000
728,45000000,57362581
729,100000000,365300000
730,45000000,117615211
731,18000000,351620129
732,10000000,126247
733,1500000,418953
734,4500000,242895809
735,55000000,212200000
736,28000000,102053581
737,25000000,28307092
738,1500000,5046118
739,45000000,94215000
740,18000000,5828466
741,30000000,283200000
742,8000000,212928762
743,8000000,18090181
744,700000,11768371
745,27000,3894240
746,20000000,13383747
747,55000000,196565669
748,40000000,14938149
749,20000000,305070
750,50000000,223564608
751,22000000,189800000
752,5000000,5438120
753,38000000,120000000
754,16000000,45284974
755,10000000,29317886
756,16000000,246400000
757,40000000,38087756
758,15000000,50003303
759,35000000,99423000
760,30000000,160502573
761,27000000,44342956
762,10500000,125169
763,25000000,4064333
764,13700000,56598476
765,15000000,529766
766,12000000,21089146
767,26000000,13738574
768,2500000,5683371
769,22000000,175516617
770,4000000,7555256
771,50000000,26097497
772,20000000,22119269
773,14000000,2461628
774,30000000,246100000
775,30000000,23998226
776,40000000,14942422
777,3500000,27936778
778,90000000,366101666
779,72000000,209045522
780,6000000,11784569
781,55000000,282300000
782,50000000,83306268
783,100000000,336529144
784,250000,2477155
785,85000000,113487912
786,65000000,334100000
787,28000000,31390587
788,25000000,22032635
789,23000000,141247413
790,75000000,127361412
791,35000000,113354449
792,60000000,104324083
793,45000000,35627222
794,1500000,20412216
795,175000000,264246220
796,22000000,110521733
797,6000000,34449356
798,20000000,122133227
799,24000000,669276
800,7000000,25532388
801,50000000,152022333
802,50000,10426506
803,40000000,37750754
804,30000000,328125643
805,20000000,27688744
806,5000000,15126948
807,32000000,18552460
808,50000000,67823573
809,55000000,347100000
810,30000000,212400000
811,50000000,10359006
812,50000000,9812870
813,30250000,115021008
814,6100000,2108367
815,20000000,32051917
816,14000000,19637147
817,4000000,49800000
818,16500000,134993774
819,62000000,107822813
820,60000000,356429941
821,68000000,77224232
822,52000000,110400000
823,30000000,364545516
824,55000000,159387195
825,11000000,2794056
826,11000000,2844379
827,65000000,262758310
828,58000000,87100000
829,45000000,34668249
830,92000000,18517322
831,4000000,4301000
832,29000000,168841459
833,31000000,106282604
834,18000000,4100000
835,11000000,83088295
836,9200000,4199334
838,60000000,100645801
839,10000,527
840,14500000,147542381
841,12500000,1412799
842,20000000,25732986
843,44000000,22730924
844,38000000,10229300
845,75000000,817400878
846,55000000,60209334
847,5900000,37831658
848,40000000,20278055
849,10000000,41004412
850,5000000,407488
851,47000000,12900000
852,18000000,2483790
853,7500000,36238752
854,8000000,34873513
855,15000000,55669466
856,8000000,5656388
857,55000000,122079192
858,12000000,4880941
859,7000000,16149180
860,39000000,37956589
861,45000000,36404841
862,10000000,3357324
863,4500000,7011317
864,2500000,34557416
865,35000000,1320043
866,25000000,10039566
867,13000000,2104439
868,32000000,152036382
869,25530000,30593313
870,80000000,457697994
871,18000000,26936265
872,57000000,104364680
873,32000000,4357406
874,9000000,36049108
875,80000000,158908290
876,20000000,34600000
877,47000000,102825796
878,100000000,234400000
879,100000000,325500000
880,5000000,12961389
881,55000000,273814019
882,50000000,113309743
883,75000000,336069511
884,45000000,17220599
885,45000000,20133326
886,1000000,1615787
887,30000000,19892205
888,3100000,71558971
889,40000000,152266007
890,25000000,32223424
891,25000000,36682170
892,2000000,304602
893,7000000,51204567
894,70000000,308700000
895,55000000,18582965
896,45000000,75854588
897,19000000,1353824
898,40000000,27682712
899,3500000,13795053
900,3000000,295493
901,65000000,148345997
902,50000000,25426861
903,45000000,58617334
904,3000000,2962051
905,25000000,51702929
906,67000000,18115927
907,30000000,181489203
908,300000,2525984
909,38000000,17378193
910,4500000,13417292
911,88000000,495700000
912,800000,5034794
913,13000000,26570048
914,2400000,5691854
915,44000000,165600852
916,200000,6618578
917,14000000,15171475
918,65000000,33447612
919,55000000,38564422
920,25000000,27572844
921,1300000,749741
922,80000000,250200000
923,42000000,41267469
924,35000000,231711151
925,4833610,34175000
926,60000000,129832389
927,46000000,150000000
928,5500000,36665191
929,20000000,26792700
930,46000000,100833145
931,7000000,98754000
932,80000000,101371017
933,50000000,274000000
934,36000000,13052741
935,23000000,12803305
936,21500000,22331846
937,15000000,173046663
938,12000000,63118386
939,55000000,151947179
940,18000000,7129670
941,15000000,76382
942,90000000,587790539
943,3000000,27788649
944,25000,2883661
945,5000000,353480
946,8000000,590817
947,45000000,2154540
948,4000000,2922988
949,36000000,50159144
950,35000000,6448817
951,18000000,67683989
952,50000000,50068310
953,26000000,1083350
954,35000000,65303052
955,35000000,2221994
956,3000000,4109095
957,27000000,60527873
958,10000000,12554569
959,45000000,302710615
960,20000000,35450113
961,90000000,140900000
962,32000000,3588602
963,250000,743216
964,90000000,169400000
965,250000,15155095
966,42000000,4408420
967,3000000,4002884
968,90000000,120100000
969,300000,42735
970,10000000,225933435
971,75000000,618638999
972,80000000,224117573
973,12000000,14010363
974,110000000,150468000
